year,Dynasty1,Area1,Dynasty2,Area2,Dynasty3,Area3,Dynasty4,Area4,Dynasty5,Area5
BC210,Qin,347,,,,,,,,
BC150,Western Han,210,,,,,,,,
BC120,Western Han,267,,,,,,,,
AC0,Western Han,610,,,,,,,,
AC85,Eastern Han,425,,,,,,,,
AC100,Eastern Han,570,,,,,,,,
AC140,Eastern Han,580,,,,,,,,
AC260,Wei,292,Shu,108,Wu,145,,,,
AC280,Western Jin,545,,,,,,,,
AC400,Estern Jin,280,,,,,,,,
AC450,Liu Song,278,Northern Wei,520,,,,,,
AC490,Southern Qi,260,Northern Wei,520,,,,,,
AC530,Southern Liang,260,Northern Wei,520,,,,,,
AC573,Southern chen,132,,,,,,,,
AC581,Sui,275,,,,,,,,
AC612,Sui,470,,,,,,,,
AC628,Tang,430,,,,,,,,
AC660,Tang,1210,,,,,,,,
AC700,Tang,930,,,,,,,,
AC750,Tang,840,,,,,,,,
AC1120,Northern Song,283,,,,,,,,
AC1200,Southern Song,200,,,,,,,,
AC1100,Liao,490,,,,,,,,
AC1150,Jin,360,,,,,,,,
AC1300,Yuan,2270,,,,,,,,
AC1426,Ming,1000,,,,,,,,
AC1440,Ming,950,,,,,,,,
AC1585,Ming,750,,,,,,,,
AC1640,Ming,350,,,,,,,,
AC1690,Qing,975,,,,,,,,
AC1760,Qing,1310,,,,,,,,
AC1820,Qing,1300,,,,,,,,
AC1910,Qing,1131,,,,,,,,
AC1920,Republic of China,1131,,,,,,,,
AC2000,People republic of China,960,,,,,,,,
AC2008,People republic of China,960,,,,,,,,
AC2016,People republic of China,960,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,